部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,粤BP439V,7.98,0.73,3.088,17.9888352,2019/11/27
04无排行无提醒,粤STB959,2.01,0.73,3.088,4.5310224,2019/11/27
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/27
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/27
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/27
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/27
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/27
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/27
04无排行无提醒,皖AT0623,29.33,0.73,3.088,66.1168592,2019/11/28
04无排行无提醒,皖AT0658,49.46,0.73,3.088,111.4947104,2019/11/28
04无排行无提醒,皖AT0560,31.79,0.73,3.088,71.6622896,2019/11/28
04无排行无提醒,皖AT0540,30.44,0.73,3.088,68.6190656,2019/11/28
04无排行无提醒,皖AT0565,24.5,0.73,3.088,55.22888,2019/11/28
04无排行无提醒,皖AT0666,16.62,0.73,3.088,37.4654688,2019/11/28
04无排行无提醒,皖AT0608,15.78,0.73,3.088,35.5719072,2019/11/28
04无排行无提醒,皖AT0661,13.73,0.73,3.088,30.9507152,2019/11/28
04无排行无提醒,粤B0Y92H,14.55,0.73,3.088,32.799192,2019/11/28
04无排行无提醒,皖AT0616,10.79,0.73,3.088,24.3232496,2019/11/28
04无排行无提醒,皖AT0556,5.29,0.73,3.088,11.9249296,2019/11/28
04无排行无提醒,粤BP439V,3.03,0.73,3.088,6.8303472,2019/11/28
04无排行无提醒,粤STB959,1.73,0.73,3.088,3.8998352,2019/11/28
04无排行无提醒,粤PR5795,1.21,0.73,3.088,2.7276304,2019/11/28
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/28
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/28
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/28
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/28
04无排行无提醒,皖AT0565,64.03,0.73,3.088,144.3389872,2019/11/29
04无排行无提醒,皖AT0560,57.94,0.73,3.088,130.6106656,2019/11/29
04无排行无提醒,皖AT0540,48.08,0.73,3.088,108.3838592,2019/11/29
04无排行无提醒,皖AT0661,38.46,0.73,3.088,86.6980704,2019/11/29
04无排行无提醒,皖AT0623,37.1,0.73,3.088,83.632304,2019/11/29
04无排行无提醒,皖AT0666,38.18,0.73,3.088,86.0668832,2019/11/29
04无排行无提醒,皖AT0616,32.34,0.73,3.088,72.9021216,2019/11/29
04无排行无提醒,皖AT0658,30.4,0.73,3.088,68.528896,2019/11/29
04无排行无提醒,粤STB959,7.67,0.73,3.088,17.2900208,2019/11/29
04无排行无提醒,粤BP439V,0.95,0.73,3.088,2.141528,2019/11/29
04无排行无提醒,粤PR5795,0.45,0.73,3.088,1.014408,2019/11/29
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/29
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/29
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/29
04无排行无提醒,皖AT0608,0,0.73,3.088,0,2019/11/29
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/29
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/29
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2019/11/29
04无排行无提醒,皖AT0560,77.86,0.73,3.088,175.5151264,2019/11/30
04无排行无提醒,皖AT0540,47.75,0.73,3.088,107.63996,2019/11/30
04无排行无提醒,皖AT0623,43.73,0.73,3.088,98.5779152,2019/11/30
04无排行无提醒,皖AT0661,39.32,0.73,3.088,88.6367168,2019/11/30
04无排行无提醒,皖AT0608,40.47,0.73,3.088,91.2290928,2019/11/30
04无排行无提醒,皖AT0666,39.05,0.73,3.088,88.028072,2019/11/30
04无排行无提醒,皖AT0565,36.35,0.73,3.088,81.941624,2019/11/30
04无排行无提醒,皖AT0616,43.62,0.73,3.088,98.3299488,2019/11/30
04无排行无提醒,皖AT0658,11.52,0.73,3.088,25.9688448,2019/11/30
04无排行无提醒,粤B0Y92H,8.55,0.73,3.088,19.273752,2019/11/30
04无排行无提醒,粤STB959,0.97,0.73,3.088,2.1866128,2019/11/30
04无排行无提醒,粤BP439V,0.02,0.73,3.088,0.0450848,2019/11/30
04无排行无提醒,粤PR5795,1.2,0.73,3.088,2.705088,2019/11/30
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/30
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/30
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/30
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/30
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2019/11/30
