"","车牌号","部门","绝色出行天数","行驶天数","油耗","碳排放.kg.","绿色出行减排.kg."
"588","粤B2X562","03无排行有提醒",5,26,59.17,133.37,25.65
"589","渝D865V3","03无排行有提醒",31,0,0,0,313.72
"590","粤B3AU48","03无排行有提醒",31,0,0,0,115.01
"591","粤BS207S","03无排行有提醒",0,11,79.56,179.33,0
"592","粤B533CJ","03无排行有提醒",31,0,0,0,153.14
"593","皖AT0549","03无排行有提醒",3,28,1293.23,2914.94,312.32
"594","皖AT0633","03无排行有提醒",24,7,308.95,696.37,2387.57
"595","皖AT0589","03无排行有提醒",1,27,1013.24,2283.84,84.59
"596","皖AT0591","03无排行有提醒",5,26,1297.08,2923.62,562.23
"597","皖AT0621","03无排行有提醒",6,25,877.42,1977.7,474.65
"598","皖AT0579","03无排行有提醒",6,25,1071.29,2414.69,579.53
"599","皖AT0596","03无排行有提醒",2,29,1020.69,2300.64,158.66
"600","皖AT0631","03无排行有提醒",1,30,855.13,1927.46,64.25
"601","皖AT0563","03无排行有提醒",7,24,987.23,2225.22,649.02
"602","粤BS207S","03无排行有提醒",6,17,60.49,136.34,48.12
"603","粤STC809","03无排行有提醒",13,18,413.16,931.26,672.58
"604","皖AT0632","03无排行有提醒",31,0,0,0,4376.89
"605","皖AT0539","03无排行有提醒",31,0,0,0,3421.47
"606","渝D865V3","03无排行有提醒",31,0,0,0,313.72
"607","粤B2X562","03无排行有提醒",31,0,0,0,207.39
"608","粤B533CJ","03无排行有提醒",31,0,0,0,153.14
"609","粤B3AU48","03无排行有提醒",31,0,0,0,115.01
"610","1.22E+16","03无排行有提醒",31,0,0,0,18.29
"611","粤B892VK","03无排行有提醒",31,0,0,0,187.24
"612","粤BY1047","03无排行有提醒",31,0,0,0,83.7
"613","皖AT0621","03无排行有提醒",26,3,10.48,23.62,204.72
"614","皖AT0589","03无排行有提醒",21,8,86.92,195.92,514.28
"615","粤BS207S","03无排行有提醒",21,8,5.88,13.25,34.79
"616","皖AT0591","03无排行有提醒",8,21,428.87,966.67,368.26
"617","皖AT0549","03无排行有提醒",13,15,263.72,594.42,515.17
"618","皖AT0579","03无排行有提醒",13,16,214.12,482.63,392.13
"619","皖AT0539","03无排行有提醒",29,0,0,0,3200.73
"620","皖AT0632","03无排行有提醒",29,0,0,0,4094.51
"621","皖AT0631","03无排行有提醒",25,4,22.64,51.03,318.94
"622","皖AT0596","03无排行有提醒",16,13,105.69,238.23,293.2
"623","皖AT0563","03无排行有提醒",28,1,0.61,1.37,38.5
"624","粤B2X562","03无排行有提醒",29,0,0,0,194.01
"625","粤B533CJ","03无排行有提醒",29,0,0,0,143.26
"626","粤B3AU48","03无排行有提醒",29,0,0,0,107.59
"627","1.22E+16","03无排行有提醒",29,0,0,0,17.11
"628","皖AT0633","03无排行有提醒",29,0,0,0,3211.46
"629","渝D865V3","03无排行有提醒",29,0,0,0,293.48
"630","粤B892VK","03无排行有提醒",29,0,0,0,175.16
"631","粤STC809","03无排行有提醒",29,0,0,0,1086.05
"632","粤BY1047","03无排行有提醒",29,0,0,0,78.3
"633","皖AT0549","03无排行有提醒",0,31,1324.15,2984.63,0
"634","皖AT0579","03无排行有提醒",0,31,679.34,1531.23,0
"635","皖AT0591","03无排行有提醒",1,30,1138.96,2567.22,85.57
"636","皖AT0589","03无排行有提醒",0,31,1056.22,2380.72,0
"637","皖AT0596","03无排行有提醒",0,31,747.69,1685.29,0
"638","渝D865V3","03无排行有提醒",31,0,0,0,313.72
"639","皖AT0632","03无排行有提醒",18,13,681.21,1535.45,2126
"640","皖AT0631","03无排行有提醒",4,27,472.42,1064.83,157.75
"641","皖AT0539","03无排行有提醒",31,0,0,0,3421.47
"642","皖AT0621","03无排行有提醒",17,14,187.97,423.68,514.47
"643","皖AT0563","03无排行有提醒",11,20,450.99,1016.53,559.09
"644","粤B2X562","03无排行有提醒",31,0,0,0,207.39
"645","粤B533CJ","03无排行有提醒",31,0,0,0,153.14
"646","粤B3AU48","03无排行有提醒",31,0,0,0,115.01
