部门,车牌号,日期,驾驶行为评分
03无排行有提醒,粤B3AU48,2020/8/20,100
04无排行无提醒,粤STB959,2020/8/20,100
04无排行无提醒,粤B4C0S6,2020/8/20,100
03无排行有提醒,粤B2X562,2020/8/20,100
02有排行无提醒,皖AYY059,2020/8/20,100
04无排行无提醒,粤B3RC91,2020/8/20,100
03无排行有提醒,粤STC809,2020/8/20,100
01有排行有提醒,粤B2K335,2020/8/20,100
04无排行无提醒,粤PR5795,2020/8/20,100
03无排行有提醒,粤BY1047,2020/8/20,100
01有排行有提醒,粤B3R80W,2020/8/20,100
04无排行无提醒,粤S09158,2020/8/20,100
02有排行无提醒,粤B9XN26,2020/8/20,100
02有排行无提醒,闽C88DN2,2020/8/20,100
02有排行无提醒,粤BL05M1,2020/8/20,92.2
01有排行有提醒,粤BT2220,2020/8/20,86.77
02有排行无提醒,皖AT0620,2020/8/20,77.15
03无排行有提醒,皖AT0621,2020/8/20,71.39
03无排行有提醒,皖AT0563,2020/8/20,66.51
04无排行无提醒,皖AT0658,2020/8/20,61.49
03无排行有提醒,皖AT0632,2020/8/20,53.68
03无排行有提醒,皖AT0631,2020/8/20,49.79
01有排行有提醒,皖AT0599,2020/8/20,49.63
02有排行无提醒,皖AT0541,2020/8/20,48.57
04无排行无提醒,皖AT0565,2020/8/20,45.09
01有排行有提醒,皖AT0665,2020/8/20,43.9
01有排行有提醒,皖AT0628,2020/8/20,35.51
04无排行无提醒,皖AT0623,2020/8/20,32.93
03无排行有提醒,皖AT0591,2020/8/20,31.86
04无排行无提醒,皖AT0608,2020/8/20,31.11
01有排行有提醒,皖AT0553,2020/8/20,31.01
03无排行有提醒,皖AT0596,2020/8/20,29.4
04无排行无提醒,皖AT0540,2020/8/20,27.57
02有排行无提醒,皖AT0601,2020/8/20,22.42
02有排行无提醒,皖AT0613,2020/8/20,22.04
01有排行有提醒,皖AT0650,2020/8/20,21.01
01有排行有提醒,皖AT0568,2020/8/20,16.49
02有排行无提醒,皖AT0641,2020/8/20,0
01有排行有提醒,皖AT0609,2020/8/20,0
03无排行有提醒,粤TEST01,2020/8/20,0
04无排行无提醒,皖AT0556,2020/8/20,0
01有排行有提醒,粤B048RX,2020/8/20,0
02有排行无提醒,粤BN8G52,2020/8/20,0
02有排行无提醒,皖AT0580,2020/8/21,100
02有排行无提醒,皖AT0543,2020/8/21,100
03无排行有提醒,皖AT0633,2020/8/21,100
02有排行无提醒,皖AT0576,2020/8/21,100
02有排行无提醒,粤SL3H57,2020/8/21,100
03无排行有提醒,粤BS207S,2020/8/21,100
04无排行无提醒,粤B83CT2,2020/8/21,100
03无排行有提醒,粤B892VK,2020/8/21,100
04无排行无提醒,粤B0Y92H,2020/8/21,100
02有排行无提醒,粤B7U0H5,2020/8/21,100
03无排行有提醒,渝D865V3,2020/8/21,100
01有排行有提醒,粤L39ES3,2020/8/21,100
03无排行有提醒,皖AT0549,2020/8/21,100
04无排行无提醒,皖AT0560,2020/8/21,100
01有排行有提醒,皖AT0619,2020/8/21,100
04无排行无提醒,皖AT0666,2020/8/21,100
02有排行无提醒,皖AT0575,2020/8/21,100
03无排行有提醒,皖AT0589,2020/8/21,100
02有排行无提醒,皖AT0657,2020/8/21,100
01有排行有提醒,皖AT0547,2020/8/21,100
04无排行无提醒,皖AT0616,2020/8/21,100
03无排行有提醒,皖AT0539,2020/8/21,100
01有排行有提醒,皖AT0600,2020/8/21,100
04无排行无提醒,皖AT0661,2020/8/21,100
03无排行有提醒,皖AT0579,2020/8/21,100
04无排行无提醒,粤BP439V,2020/8/21,100
03无排行有提醒,粤STC809,2020/8/21,100
04无排行无提醒,粤B3RC91,2020/8/21,100
03无排行有提醒,粤B533CJ,2020/8/21,100
02有排行无提醒,粤B3Q03K,2020/8/21,100
01有排行有提醒,粤S45B27,2020/8/21,100
02有排行无提醒,粤JCL629,2020/8/21,100
03无排行有提醒,粤B3AU48,2020/8/21,100
04无排行无提醒,粤STB959,2020/8/21,100
01有排行有提醒,皖AT0626,2020/8/21,100
02有排行无提醒,闽C88DN2,2020/8/21,100
04无排行无提醒,粤B4C0S6,2020/8/21,100
01有排行有提醒,粤BH218W,2020/8/21,100
01有排行有提醒,粤B2K335,2020/8/21,100
04无排行无提醒,粤PR5795,2020/8/21,100
03无排行有提醒,粤BY1047,2020/8/21,100
01有排行有提醒,粤B3R80W,2020/8/21,100
03无排行有提醒,粤B2X562,2020/8/21,100
04无排行无提醒,粤S09158,2020/8/21,100
02有排行无提醒,粤B9XN26,2020/8/21,100
02有排行无提醒,皖AYY059,2020/8/21,100
01有排行有提醒,粤LBY602,2020/8/21,100
02有排行无提醒,粤BL05M1,2020/8/21,94.57
01有排行有提醒,皖AT0642,2020/8/21,90.77
01有排行有提醒,粤BT2220,2020/8/21,84.79
03无排行有提醒,皖AT0563,2020/8/21,68.55
01有排行有提醒,皖AT0665,2020/8/21,68.4
04无排行无提醒,皖AT0658,2020/8/21,68.28
02有排行无提醒,皖AT0620,2020/8/21,67.09
03无排行有提醒,皖AT0632,2020/8/21,65.28
02有排行无提醒,皖AT0601,2020/8/21,60.23
01有排行有提醒,皖AT0650,2020/8/21,57.07
03无排行有提醒,皖AT0621,2020/8/21,55.53
01有排行有提醒,皖AT0599,2020/8/21,53.84
03无排行有提醒,皖AT0631,2020/8/21,44.33
01有排行有提醒,皖AT0568,2020/8/21,39.18
02有排行无提醒,皖AT0541,2020/8/21,37.48
04无排行无提醒,皖AT0565,2020/8/21,34.99
01有排行有提醒,皖AT0553,2020/8/21,34.14
03无排行有提醒,皖AT0591,2020/8/21,33.96
04无排行无提醒,皖AT0540,2020/8/21,33.48
02有排行无提醒,皖AT0613,2020/8/21,29.93
04无排行无提醒,皖AT0608,2020/8/21,26.91
01有排行有提醒,皖AT0628,2020/8/21,23.62
03无排行有提醒,皖AT0596,2020/8/21,23.43
04无排行无提醒,皖AT0623,2020/8/21,6.42
01有排行有提醒,皖AT0609,2020/8/21,0
01有排行有提醒,粤B048RX,2020/8/21,0
02有排行无提醒,粤BN8G52,2020/8/21,0
03无排行有提醒,粤TEST01,2020/8/21,0
04无排行无提醒,皖AT0556,2020/8/21,0
02有排行无提醒,皖AT0641,2020/8/21,0
02有排行无提醒,皖AT0580,2020/8/22,100
02有排行无提醒,皖AT0543,2020/8/22,100
03无排行有提醒,皖AT0633,2020/8/22,100
02有排行无提醒,皖AT0576,2020/8/22,100
02有排行无提醒,粤SL3H57,2020/8/22,100
03无排行有提醒,粤BS207S,2020/8/22,100
04无排行无提醒,粤B83CT2,2020/8/22,100
03无排行有提醒,粤B892VK,2020/8/22,100
04无排行无提醒,粤B0Y92H,2020/8/22,100
02有排行无提醒,粤B7U0H5,2020/8/22,100
03无排行有提醒,渝D865V3,2020/8/22,100
01有排行有提醒,粤L39ES3,2020/8/22,100
